Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	ATERF1_2	RRTF1_2	3	206	267	0.32027	0.326152	1	1	AT1G22780;AT2G27720;AT3G56020;
G1	ATERF1_2	RRTF1_3ARY	2	233	267	0.66003	0.66003	1	1	AT2G27720;AT5G07090;
G1	ATERF1_2	RVE1	7	604	267	0.366184	0.366184	1	1	AT1G33120;AT1G33140;AT2G14890;AT4G27090;AT5G07090;AT5G53460;AT5G56670;
G1	ATERF1_2	RVE1_2	6	684	267	0.649817	0.649817	1	1	AT1G65930;AT4G05320;AT4G27090;AT4G39200;AT5G55190;AT5G56670;
G1	CCA1	CCA1_2	2	656	267	0.987959	0.987959	1	1	AT5G56670;AT5G62300;
G1	CCA1	DDF1	9	763	267	0.318125	0.326152	1	1	AT1G33120;AT1G33140;AT1G78040;AT2G14890;AT2G19730;AT2G23120;AT4G18100;AT5G09510;AT5G15200;
G1	CCA1	DREB2C	6	576	267	0.482979	0.482979	1	1	AT1G33120;AT1G33140;AT4G11600;AT5G07090;AT5G53460;AT5G56670;
G1	CCA1	DREB2C_2	5	609	267	0.702697	0.702697	1	1	AT1G78040;AT2G14890;AT5G03240;AT5G53460;AT5G56670;
G1	CCA1	GLK1	3	452	267	0.814263	0.814263	1	1	AT1G78380;AT4G09800;AT4G11600;
G1	CCA1	GLK1_2	7	875	267	0.743759	0.743759	1	1	AT1G04480;AT1G65980;AT3G13920;AT4G11600;AT4G18100;AT5G03240;AT5G53460;
G1	CCA1	KAN1	3	614	267	0.937655	0.937655	1	1	AT2G01250;AT4G09800;AT5G59880;
G1	CCA1	KAN4	7	830	267	0.693181	0.693181	1	1	AT1G17190;AT2G01250;AT4G21830;AT5G02500;AT5G07090;AT5G59880;AT5G62300;
G1	CCA1	KAN4_2	5	945	267	0.952576	0.952576	1	1	AT3G13920;AT5G02500;AT5G07090;AT5G59880;AT5G62300;
G1	CCA1	MYB111	6	796	267	0.783539	0.783539	1	1	AT2G25210;AT2G41430;AT4G39090;AT5G02500;AT5G17920;AT5G53460;
G1	CCA1	MYB111_2	8	701	267	0.366109	0.366109	1	1	AT1G65980;AT2G01250;AT2G23120;AT2G25210;AT2G41430;AT4G39090;AT5G17920;AT5G53460;
G1	CCA1	MYB46	6	771	267	0.757516	0.757516	1	1	AT2G25210;AT2G41430;AT4G39090;AT5G02500;AT5G17920;AT5G53460;
G1	CCA1	MYB46_2	6	669	267	0.628626	0.628626	1	1	AT2G01250;AT2G41430;AT4G39090;AT5G02500;AT5G56670;AT5G62300;
G1	CCA1	MYB52	10	702	267	0.143931	0.320427	1	1	AT1G33120;AT1G33140;AT1G78040;AT3G01280;AT4G10480;AT5G05410;AT5G07090;AT5G15090;AT5G15200;AT5G56670;
G1	CCA1	MYB52_2	6	756	267	0.740848	0.740848	1	1	AT2G14890;AT2G25210;AT3G02230;AT4G10480;AT4G39090;AT5G02500;
G1	CCA1	MYB55	4	711	267	0.914733	0.914733	1	1	AT2G25210;AT4G39090;AT5G17920;AT5G53460;
G1	CCA1	MYB55_2	5	669	267	0.776468	0.776468	1	1	AT2G41430;AT4G39090;AT5G17920;AT5G56670;AT5G62300;
G1	CCA1	MYB59	10	922	267	0.399309	0.399309	1	1	AT1G33120;AT1G33140;AT2G01250;AT2G23120;AT2G25210;AT2G41430;AT3G02230;AT5G02500;AT5G03240;AT5G05410;
G1	CCA1	RAP2.3	7	542	267	0.270838	0.326152	1	1	AT1G33120;AT1G33140;AT3G01280;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RAP2.3_2	10	559	267	0.0459995	0.229997	1	1	AT1G33120;AT1G33140;AT1G78040;AT2G14890;AT3G01280;AT5G02500;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RAP2.3_3ARY	11	560	267	0.0208985	0.153614	1	1	AT1G04480;AT1G33120;AT1G33140;AT1G78040;AT2G14890;AT2G23120;AT3G01280;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RAP2.6	8	518	267	0.130484	0.320427	1	1	AT1G33120;AT1G33140;AT1G78040;AT2G14890;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RAP2.6_2	10	580	267	0.0562335	0.253524	1	1	AT1G33120;AT1G33140;AT2G21660;AT3G01280;AT4G18100;AT5G02500;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RAP2.6_3ARY	9	586	267	0.116173	0.320427	1	1	AT1G33120;AT1G33140;AT1G78040;AT2G14890;AT3G01280;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RRTF1	9	538	267	0.0785142	0.298571	1	1	AT1G33120;AT1G33140;AT3G01280;AT5G07090;AT5G09510;AT5G47930;AT5G53460;AT5G56670;AT5G62300;
G1	CCA1	RRTF1_2	9	570	267	0.102665	0.307996	1	1	AT1G33120;AT1G33140;AT2G14890;AT3G01280;AT4G31290;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RRTF1_3ARY	9	580	267	0.110997	0.320427	1	1	AT1G33120;AT1G33140;AT2G14890;AT3G01280;AT4G31290;AT5G07090;AT5G47930;AT5G53460;AT5G56670;
G1	CCA1	RVE1	0	0	267	1	1	1	1	
G1	CCA1	RVE1_2	14	2003	267	0.922623	0.922623	1	1	AT1G02780;AT2G01250;AT2G21580;AT2G21660;AT2G41430;AT3G01280;AT3G02230;AT3G52590;AT4G10480;AT5G05410;AT5G17920;AT5G47930;AT5G56670;AT5G58420;
G1	CCA1_2	DDF1	7	868	267	0.736293	0.736293	1	1	AT1G20450;AT1G76680;AT2G23120;AT2G40590;AT4G29410;AT5G02450;AT5G56030;
G1	CCA1_2	DREB2C	16	880	267	0.0120032	0.120032	1	1	AT1G01720;AT1G09690;AT1G14320;AT1G50010;AT1G57720;AT1G65930;AT2G04390;AT2G40590;AT2G43460;AT3G45030;AT3G61110;AT4G15910;AT4G27090;AT4G40040;AT5G53460;AT5G56670;
G1	CCA1_2	DREB2C_2	12	828	267	0.107146	0.320427	1	1	AT1G01720;AT1G14320;AT1G20450;AT1G76680;AT2G04390;AT3G55440;AT3G61110;AT4G15910;AT4G29410;AT5G02450;AT5G53460;AT5G56670;
G1	CCA1_2	GLK1	11	739	267	0.104401	0.313204	1	1	AT1G01720;AT1G17190;AT1G56045;AT1G65290;AT2G05220;AT2G43460;AT3G06700;AT3G49010;AT3G61110;AT4G38920;AT5G38480;
G1	CCA1_2	GLK1_2	11	910	267	0.265846	0.326152	1	1	AT1G01720;AT1G02500;AT1G50010;AT1G56045;AT1G65290;AT2G43460;AT4G27090;AT4G31985;AT4G40040;AT5G02450;AT5G53460;
G1	CCA1_2	KAN1	5	661	267	0.767512	0.767512	1	1	AT1G17190;AT1G65930;AT2G05220;AT3G06700;AT4G29410;
G1	CCA1_2	KAN4	9	865	267	0.457352	0.457352	1	1	AT1G17190;AT1G56045;AT1G57720;AT2G40590;AT3G23830;AT3G55440;AT4G29410;AT5G02450;AT5G62300;
G1	CCA1_2	KAN4_2	4	896	267	0.975087	0.975087	1	1	AT1G65930;AT3G11940;AT3G45030;AT5G62300;
G1	CCA1_2	MYB111	6	813	267	0.799998	0.799998	1	1	AT1G02500;AT1G65930;AT3G23830;AT4G13930;AT5G19510;AT5G53460;
G1	CCA1_2	MYB111_2	10	830	267	0.282523	0.326152	1	1	AT1G01720;AT1G02500;AT1G57720;AT1G65930;AT2G05220;AT2G23120;AT3G23830;AT4G13930;AT5G19510;AT5G53460;
G1	CCA1_2	MYB46	7	822	267	0.683555	0.683555	1	1	AT1G01720;AT1G02500;AT1G57720;AT1G65930;AT4G13930;AT4G15910;AT5G53460;
G1	CCA1_2	MYB46_2	9	834	267	0.414826	0.414826	1	1	AT1G01720;AT1G02500;AT1G43170;AT2G05220;AT3G45030;AT3G55440;AT4G13930;AT5G56670;AT5G62300;
G1	CCA1_2	MYB52	7	839	267	0.703783	0.703783	1	1	AT1G07930;AT1G14320;AT3G09200;AT3G49010;AT4G27090;AT4G40040;AT5G56670;
G1	CCA1_2	MYB52_2	4	815	267	0.956633	0.956633	1	1	AT3G09200;AT3G61110;AT4G13930;AT5G56030;
G1	CCA1_2	MYB55	8	843	267	0.569422	0.569422	1	1	AT1G01720;AT1G02500;AT1G09690;AT1G14320;AT1G57720;AT4G13930;AT4G15910;AT5G53460;
G1	CCA1_2	MYB55_2	10	851	267	0.308438	0.326152	1	1	AT1G01720;AT1G02500;AT1G43170;AT2G05220;AT3G45030;AT3G55440;AT4G13930;AT5G19510;AT5G56670;AT5G62300;
G1	CCA1_2	MYB59	7	807	267	0.665003	0.665003	1	1	AT1G14320;AT1G57720;AT2G04390;AT2G23120;AT3G23830;AT4G27090;AT5G02450;
G1	CCA1_2	RAP2.3	14	883	267	0.0486791	0.243395	1	1	AT1G07930;AT1G14320;AT1G57720;AT2G04390;AT2G43460;AT3G45030;AT3G61110;AT4G15910;AT4G27090;AT4G29410;AT4G40040;AT5G02450;AT5G53460;AT5G56670;
