Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
S	GLK1	RAP2.6_2	12	1202	186	0.112528	0.166451	1	1	AT1G08480;AT1G17880;AT1G27400;AT1G31812;AT2G47730;AT3G02080;AT3G18740;AT3G49010;AT3G53870;AT3G61110;AT5G27670;AT5G59970;
S	GLK1	RAP2.6_3ARY	13	1126	186	0.0413825	0.124148	1	1	AT1G08480;AT1G17880;AT1G56045;AT2G35120;AT2G47730;AT3G02080;AT3G18740;AT3G61110;AT4G21105;AT4G29480;AT4G34110;AT5G27670;AT5G59970;
S	GLK1	RRTF1	13	1240	186	0.0761487	0.152706	1	1	AT1G17880;AT1G27400;AT1G67785;AT2G47110;AT2G47730;AT3G02080;AT3G18740;AT3G53870;AT3G61110;AT4G29480;AT4G34110;AT5G27670;AT5G59970;
S	GLK1	RRTF1_2	13	1241	186	0.0765185	0.153037	1	1	AT1G17880;AT1G27400;AT1G56045;AT1G67785;AT2G47110;AT3G02080;AT3G18740;AT3G53870;AT3G61110;AT4G29480;AT4G34110;AT5G27670;AT5G59970;
S	GLK1	RRTF1_3ARY	14	1230	186	0.0387392	0.116218	1	1	AT1G17880;AT1G27400;AT1G56045;AT1G67785;AT2G47110;AT2G47730;AT3G02080;AT3G18740;AT3G53870;AT3G61110;AT4G29480;AT4G34110;AT5G27670;AT5G59970;
S	GLK1	RVE1	2	414	186	0.769601	0.769601	1	1	AT2G37470;AT3G27240;
S	GLK1	RVE1_2	7	939	186	0.445245	0.445245	1	1	AT1G67785;AT2G35120;AT2G37470;AT2G47170;AT3G25520;AT3G49010;AT5G27670;
S	GLK1_2	KAN1	5	819	186	0.6481	0.6481	1	1	AT2G18020;AT2G37470;AT3G03070;AT3G13920;AT4G00860;
S	GLK1_2	KAN4	7	971	186	0.480057	0.480057	1	1	AT1G20696;AT1G27400;AT1G56045;AT2G47380;AT3G03070;AT3G13920;AT5G02450;
S	GLK1_2	KAN4_2	5	790	186	0.616502	0.616502	1	1	AT2G17560;AT2G18020;AT3G13920;AT5G18380;AT5G47030;
S	GLK1_2	MYB111	7	811	186	0.30524	0.30524	1	1	AT1G79550;AT2G47380;AT3G12120;AT3G18740;AT5G18380;AT5G47030;AT5G53460;
S	GLK1_2	MYB111_2	6	889	186	0.554076	0.554076	1	1	AT1G79550;AT2G47380;AT3G12120;AT5G18380;AT5G47030;AT5G53460;
S	GLK1_2	MYB46	5	864	186	0.693809	0.693809	1	1	AT2G47380;AT3G12120;AT5G18380;AT5G47030;AT5G53460;
S	GLK1_2	MYB46_2	4	950	186	0.885418	0.885418	1	1	AT3G18740;AT5G18380;AT5G27670;AT5G47030;
S	GLK1_2	MYB52	11	1023	186	0.0855857	0.166451	1	1	AT2G47730;AT3G09500;AT3G18740;AT3G46030;AT4G34110;AT4G40040;AT5G03850;AT5G18380;AT5G27670;AT5G47030;AT5G64310;
S	GLK1_2	MYB52_2	6	857	186	0.518122	0.518122	1	1	AT2G47730;AT3G03070;AT5G03850;AT5G18380;AT5G47030;AT5G59910;
S	GLK1_2	MYB55	10	916	186	0.0911634	0.166451	1	1	AT2G31490;AT2G47110;AT2G47380;AT2G47730;AT3G09840;AT3G12120;AT3G46030;AT5G18380;AT5G47030;AT5G53460;
S	GLK1_2	MYB55_2	6	912	186	0.579157	0.579157	1	1	AT1G79550;AT2G47380;AT3G12120;AT3G18740;AT5G18380;AT5G47030;
S	GLK1_2	MYB59	7	830	186	0.325678	0.325678	1	1	AT1G51650;AT2G47110;AT2G47380;AT3G46030;AT3G53870;AT5G02450;AT5G47030;
S	GLK1_2	RAP2.3	17	1119	186	0.00152711	0.0400854	0.284042	1	AT1G27400;AT2G17360;AT2G17560;AT2G27720;AT2G47110;AT2G47380;AT2G47730;AT3G09500;AT3G18740;AT3G53870;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RAP2.3_2	16	1087	186	0.00286324	0.0400854	0.532563	1	AT1G27400;AT2G17360;AT2G17560;AT2G27720;AT2G47380;AT2G47730;AT3G18740;AT3G46030;AT3G53870;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RAP2.3_3ARY	16	1057	186	0.00217241	0.0400854	0.404067	1	AT1G27400;AT2G17360;AT2G17560;AT2G27720;AT2G47380;AT2G47730;AT3G09840;AT3G18740;AT3G53870;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RAP2.6	16	1111	186	0.00353942	0.0448926	0.658332	1	AT1G27400;AT2G17360;AT2G17560;AT2G27720;AT2G47110;AT2G47380;AT2G47730;AT3G18740;AT3G53870;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RAP2.6_2	11	974	186	0.0655262	0.152706	1	1	AT1G27400;AT2G47380;AT2G47730;AT3G18740;AT3G53870;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RAP2.6_3ARY	16	1037	186	0.00179421	0.0400854	0.333724	1	AT1G56045;AT2G17360;AT2G18020;AT2G27720;AT2G36620;AT2G47380;AT2G47730;AT3G18740;AT3G46030;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G53460;AT5G64310;
S	GLK1_2	RRTF1	16	1128	186	0.00409415	0.044976	0.761513	1	AT1G27400;AT2G17360;AT2G17560;AT2G27720;AT2G47110;AT2G47380;AT2G47730;AT3G18740;AT3G53870;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RRTF1_2	16	1107	186	0.00341835	0.0444386	0.635814	1	AT1G27400;AT1G56045;AT2G17360;AT2G17560;AT2G27720;AT2G47110;AT2G47380;AT3G18740;AT3G53870;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RRTF1_3ARY	17	1129	186	0.00167755	0.0400854	0.312025	1	AT1G27400;AT1G56045;AT2G17360;AT2G17560;AT2G27720;AT2G47110;AT2G47380;AT2G47730;AT3G18740;AT3G53870;AT4G34110;AT4G40040;AT5G02450;AT5G18380;AT5G27670;AT5G47030;AT5G53460;
S	GLK1_2	RVE1	6	879	186	0.542965	0.542965	1	1	AT1G20696;AT2G17560;AT2G37470;AT3G12120;AT3G24830;AT5G53460;
S	GLK1_2	RVE1_2	5	565	186	0.331606	0.331606	1	1	AT2G17560;AT2G37470;AT3G12120;AT5G27670;AT5G64310;
S	KAN1	KAN4	0	48	186	0.372539	0.372539	1	1	
S	KAN1	KAN4_2	9	1938	186	0.910623	0.910623	1	1	AT1G65930;AT2G18020;AT2G28740;AT3G04120;AT3G07480;AT3G13920;AT3G53740;AT4G24920;AT5G59880;
S	KAN1	MYB111	7	881	186	0.381442	0.381442	1	1	AT1G15120;AT1G31812;AT1G65930;AT3G04120;AT3G25520;AT4G05320;AT4G24920;
S	KAN1	MYB111_2	8	851	186	0.215709	0.215709	1	1	AT1G15120;AT1G31812;AT1G65930;AT2G01250;AT3G04120;AT3G25520;AT4G05320;AT4G24920;
S	KAN1	MYB46	7	899	186	0.401271	0.401271	1	1	AT1G15120;AT1G31812;AT1G65930;AT3G04120;AT3G25520;AT4G05320;AT4G24920;
S	KAN1	MYB46_2	7	788	186	0.280886	0.280886	1	1	AT1G01100;AT1G15120;AT1G31812;AT1G67785;AT2G01250;AT3G53020;AT4G05320;
S	KAN1	MYB52	3	840	186	0.92424	0.92424	1	1	AT3G53020;AT3G53740;AT4G05320;
S	KAN1	MYB52_2	4	932	186	0.876353	0.876353	1	1	AT3G02230;AT3G03070;AT3G25520;AT5G56710;
S	KAN1	MYB55	3	820	186	0.916465	0.916465	1	1	AT1G15120;AT1G31812;AT3G53020;
S	KAN1	MYB55_2	8	845	186	0.210417	0.210417	1	1	AT1G01100;AT1G15120;AT1G31812;AT1G67785;AT3G04120;AT3G53020;AT4G05320;AT4G24920;
S	KAN1	MYB59	4	910	186	0.864446	0.864446	1	1	AT1G31812;AT2G01250;AT3G02230;AT5G39740;
S	KAN1	RAP2.3	7	750	186	0.241867	0.241867	1	1	AT1G01100;AT1G67785;AT1G72020;AT3G04120;AT3G07480;AT3G53020;AT5G56710;
S	KAN1	RAP2.3_2	6	753	186	0.395519	0.395519	1	1	AT1G01100;AT1G67785;AT1G72020;AT3G07480;AT3G53020;AT4G05320;
S	KAN1	RAP2.3_3ARY	5	781	186	0.606369	0.606369	1	1	AT1G01100;AT1G72020;AT3G07480;AT3G53020;AT4G05320;
S	KAN1	RAP2.6	7	755	186	0.246899	0.246899	1	1	AT1G01100;AT1G15120;AT1G67785;AT1G72020;AT3G04120;AT3G07480;AT3G53020;
S	KAN1	RAP2.6_2	7	784	186	0.276701	0.276701	1	1	AT1G01100;AT1G15120;AT1G31812;AT1G65930;AT1G72020;AT3G07480;AT3G53020;
S	KAN1	RAP2.6_3ARY	5	773	186	0.597237	0.597237	1	1	AT2G18020;AT3G04120;AT3G52930;AT3G53020;AT4G05320;
S	KAN1	RRTF1	6	754	186	0.396719	0.396719	1	1	AT1G01100;AT1G67785;AT1G72020;AT3G04120;AT3G07480;AT3G53020;
S	KAN1	RRTF1_2	5	747	186	0.566776	0.566776	1	1	AT1G01100;AT1G67785;AT1G72020;AT3G07480;AT3G53020;
S	KAN1	RRTF1_3ARY	4	737	186	0.733575	0.733575	1	1	AT1G67785;AT1G72020;AT3G07480;AT3G53020;
S	KAN1	RVE1	3	560	186	0.729569	0.729569	1	1	AT2G01250;AT3G52930;AT5G10360;
S	KAN1	RVE1_2	9	1301	186	0.513777	0.513777	1	1	AT1G65930;AT1G66580;AT1G67785;AT2G01250;AT2G37470;AT3G02230;AT3G25520;AT3G52730;AT4G05320;
S	KAN4	KAN4_2	12	2109	186	0.766327	0.766327	1	1	AT1G54690;AT1G77940;AT2G21160;AT2G28740;AT3G04120;AT3G07480;AT3G13920;AT5G02500;AT5G47890;AT5G59613;AT5G59880;AT5G62300;
S	KAN4	MYB111	5	844	186	0.674004	0.674004	1	1	AT1G07920;AT2G47380;AT3G04120;AT5G02500;ATMG00030;
S	KAN4	MYB111_2	5	826	186	0.65548	0.65548	1	1	AT1G07920;AT2G01250;AT2G47380;AT3G04120;ATMG00030;
S	KAN4	MYB46	5	861	186	0.690891	0.690891	1	1	AT1G07920;AT2G47380;AT3G04120;AT5G02500;ATMG00030;
S	KAN4	MYB46_2	9	818	186	0.10187	0.166451	1	1	AT1G07920;AT1G67785;AT2G01250;AT3G55440;AT4G16720;AT5G02500;AT5G15320;AT5G39570;AT5G62300;
S	KAN4	MYB52	3	864	186	0.932697	0.932697	1	1	AT2G21160;AT3G46320;ATMG00030;
S	KAN4	MYB52_2	3	885	186	0.93938	0.93938	1	1	AT1G54690;AT3G03070;AT5G02500;
S	KAN4	MYB55	3	826	186	0.91887	0.91887	1	1	AT1G07920;AT2G47380;ATMG00030;
S	KAN4	MYB55_2	6	840	186	0.498585	0.498585	1	1	AT1G07920;AT1G67785;AT2G47380;AT3G04120;AT3G55440;AT5G62300;
S	KAN4	MYB59	6	888	186	0.55297	0.55297	1	1	AT1G54690;AT2G01250;AT2G47380;AT5G02450;AT5G02500;AT5G39740;
S	KAN4	RAP2.3	10	849	186	0.0617576	0.152706	1	1	AT1G20693;AT1G27400;AT1G67785;AT1G77940;AT2G47380;AT3G04120;AT3G07480;AT5G02450;AT5G39570;ATMG00030;
S	KAN4	RAP2.3_2	11	830	186	0.0252273	0.100909	1	1	AT1G07920;AT1G20693;AT1G27400;AT1G67785;AT1G77940;AT2G47380;AT3G07480;AT5G02450;AT5G02500;AT5G39570;ATMG00030;
S	KAN4	RAP2.3_3ARY	8	812	186	0.182286	0.182286	1	1	AT1G07920;AT1G20693;AT1G27400;AT1G77940;AT2G47380;AT3G07480;AT5G02450;ATMG00030;
S	KAN4	RAP2.6	9	854	186	0.123395	0.166451	1	1	AT1G27400;AT1G67785;AT1G77940;AT2G47380;AT3G04120;AT3G07480;AT5G02450;AT5G39570;ATMG00030;
S	KAN4	RAP2.6_2	10	815	186	0.0495451	0.148635	1	1	AT1G07920;AT1G20693;AT1G27400;AT1G78900;AT2G47380;AT3G07480;AT5G02450;AT5G02500;AT5G39570;ATMG00030;
S	KAN4	RAP2.6_3ARY	10	786	186	0.0405076	0.121523	1	1	AT1G20693;AT1G56045;AT1G77940;AT1G78900;AT2G47380;AT3G04120;AT3G52930;AT5G02450;AT5G39570;ATMG00030;
S	KAN4	RRTF1	10	851	186	0.0625318	0.152706	1	1	AT1G27400;AT1G67785;AT1G77940;AT2G47380;AT3G04120;AT3G07480;AT5G02450;AT5G39570;AT5G62300;ATMG00030;
S	KAN4	RRTF1_2	10	835	186	0.0565129	0.152706	1	1	AT1G07920;AT1G20693;AT1G27400;AT1G56045;AT1G67785;AT2G47380;AT3G07480;AT5G02450;AT5G39570;ATMG00030;
S	KAN4	RRTF1_3ARY	11	830	186	0.0252273	0.100909	1	1	AT1G07920;AT1G20693;AT1G27400;AT1G56045;AT1G67785;AT1G77940;AT2G47380;AT3G07480;AT5G02450;AT5G39570;ATMG00030;
S	KAN4	RVE1	5	830	186	0.659653	0.659653	1	1	AT1G20696;AT2G01250;AT3G52930;AT5G02500;AT5G62300;
S	KAN4	RVE1_2	7	942	186	0.448527	0.448527	1	1	AT1G66580;AT1G67785;AT1G78900;AT2G01250;AT5G15320;AT5G39570;AT5G59613;
S	KAN4_2	MYB111	8	903	186	0.263546	0.263546	1	1	AT1G54410;AT1G65930;AT3G04120;AT4G24920;AT5G02500;AT5G18380;AT5G47030;AT5G47700;
S	KAN4_2	MYB111_2	8	837	186	0.203444	0.203444	1	1	AT1G04270;AT1G54410;AT1G65930;AT3G04120;AT4G24920;AT5G14030;AT5G18380;AT5G47030;
S	KAN4_2	MYB46	7	893	186	0.39466	0.39466	1	1	AT1G65930;AT3G04120;AT4G24920;AT5G02500;AT5G18380;AT5G47030;AT5G47700;
S	KAN4_2	MYB46_2	7	784	186	0.276701	0.276701	1	1	AT1G54410;AT4G14880;AT5G02500;AT5G14030;AT5G18380;AT5G47030;AT5G62300;
S	KAN4_2	MYB52	7	817	186	0.311667	0.311667	1	1	AT1G19910;AT2G21160;AT3G53740;AT4G21850;AT5G15230;AT5G18380;AT5G47030;
S	KAN4_2	MYB52_2	9	847	186	0.119029	0.166451	1	1	AT1G04270;AT1G54410;AT1G54690;AT4G21850;AT5G02500;AT5G15230;AT5G16130;AT5G18380;AT5G47030;
S	KAN4_2	MYB55	2	862	186	0.980944	0.980944	1	1	AT5G18380;AT5G47030;
S	KAN4_2	MYB55_2	9	824	186	0.105296	0.166451	1	1	AT1G04270;AT1G54410;AT3G04120;AT4G14880;AT4G24920;AT5G14030;AT5G18380;AT5G47030;AT5G62300;
S	KAN4_2	MYB59	5	935	186	0.7574	0.7574	1	1	AT1G54690;AT2G17420;AT5G02500;AT5G47030;AT5G47700;
S	KAN4_2	RAP2.3	9	799	186	0.0914536	0.166451	1	1	AT1G15930;AT1G19910;AT1G77940;AT2G17560;AT3G04120;AT3G07480;AT5G18380;AT5G47030;AT5G61170;
S	KAN4_2	RAP2.3_2	9	769	186	0.0763532	0.152706	1	1	AT1G15930;AT1G19910;AT1G77940;AT2G17560;AT3G07480;AT5G02500;AT5G18380;AT5G47030;AT5G61170;
S	KAN4_2	RAP2.3_3ARY	9	776	186	0.0797289	0.159458	1	1	AT1G04270;AT1G15930;AT1G19910;AT1G77940;AT2G17560;AT3G07480;AT5G18380;AT5G47030;AT5G61170;
S	KAN4_2	RAP2.6	9	770	186	0.0768299	0.15366	1	1	AT1G15930;AT1G19910;AT1G77940;AT2G17560;AT3G04120;AT3G07480;AT5G18380;AT5G47030;AT5G61170;
S	KAN4_2	RAP2.6_2	6	795	186	0.445744	0.445744	1	1	AT1G65930;AT3G07480;AT5G02500;AT5G16130;AT5G18380;AT5G47030;
S	KAN4_2	RAP2.6_3ARY	7	783	186	0.275658	0.275658	1	1	AT1G04270;AT1G19910;AT1G77940;AT2G18020;AT3G04120;AT5G16130;AT5G18380;
S	KAN4_2	RRTF1	10	764	186	0.0344602	0.116218	1	1	AT1G15930;AT1G19910;AT1G77940;AT2G17560;AT3G04120;AT3G07480;AT5G18380;AT5G47030;AT5G61170;AT5G62300;
S	KAN4_2	RRTF1_2	7	760	186	0.251965	0.251965	1	1	AT1G15930;AT1G19910;AT2G17560;AT3G07480;AT5G18380;AT5G47030;AT5G61170;
S	KAN4_2	RRTF1_3ARY	8	758	186	0.140226	0.166451	1	1	AT1G15930;AT1G19910;AT1G77940;AT2G17560;AT3G07480;AT5G18380;AT5G47030;AT5G61170;
S	KAN4_2	RVE1	7	934	186	0.439768	0.439768	1	1	AT1G54410;AT2G17560;AT3G07480;AT3G27240;AT3G45980;AT5G02500;AT5G62300;
S	KAN4_2	RVE1_2	8	935	186	0.29446	0.29446	1	1	AT1G54410;AT1G56330;AT1G65930;AT2G17560;AT3G45980;AT4G14880;AT5G15230;AT5G59613;
S	MYB111	MYB111_2	0	3	186	1	1	1	1	
S	MYB111	MYB46	0	0	186	1	1	1	1	
S	MYB111	MYB46_2	5	429	186	0.163821	0.166451	1	1	AT1G31812;AT2G07708;AT3G10920;AT4G13930;AT5G20500;
S	MYB111	MYB52	11	1076	186	0.111152	0.166451	1	1	AT1G09560;AT2G07708;AT2G35120;AT3G18740;AT4G05320;AT4G28060;AT5G18380;AT5G47030;AT5G48810;AT5G53560;ATMG00030;
S	MYB111	MYB52_2	1	174	186	0.692085	0.692085	1	1	AT2G07708;
S	MYB111	MYB55	24	2799	186	0.128553	0.166451	1	1	AT1G07920;AT1G15120;AT1G31812;AT1G67350;AT2G07708;AT2G35120;AT2G47380;AT3G04400;AT3G10920;AT3G12120;AT3G53730;AT3G60245;AT4G11010;AT4G13930;AT4G32470;AT5G10980;AT5G18380;AT5G19760;AT5G47030;AT5G48810;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	MYB55_2	1	97	186	0.480943	0.480943	1	1	ATMG00090;
S	MYB111	MYB59	0	40	186	1	1	1	1	
S	MYB111	RAP2.3	13	921	186	0.00970469	0.0592109	1	1	AT2G07708;AT2G47380;AT3G04120;AT3G10920;AT3G18740;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RAP2.3_2	16	941	186	0.000655892	0.0400854	0.121996	1	AT1G07920;AT2G07708;AT2G47380;AT3G10920;AT3G18740;AT3G53730;AT3G60245;AT4G05320;AT4G28060;AT5G02500;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RAP2.3_3ARY	18	959	186	8.97222e-05	0.0239611	0.0166883	0.139967	AT1G07920;AT2G07708;AT2G47380;AT3G04400;AT3G05590;AT3G10920;AT3G18740;AT3G60245;AT4G05320;AT4G28060;AT4G37830;AT5G18380;AT5G47030;AT5G48810;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RAP2.6	14	947	186	0.00499305	0.044976	0.928707	1	AT1G15120;AT2G07708;AT2G47380;AT3G04120;AT3G10920;AT3G18740;AT3G60245;AT4G37830;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RAP2.6_2	16	945	186	0.000686134	0.0400854	0.127621	1	AT1G07920;AT1G15120;AT1G31812;AT1G65930;AT2G07708;AT2G47380;AT3G10920;AT3G18740;AT4G28060;AT5G02500;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RAP2.6_3ARY	13	921	186	0.00970469	0.0592109	1	1	AT2G35120;AT2G47380;AT3G04120;AT3G05590;AT3G10920;AT3G18740;AT4G05320;AT4G28060;AT5G18380;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RRTF1	12	939	186	0.0254499	0.101799	1	1	AT2G07708;AT2G47380;AT3G04120;AT3G10920;AT3G18740;AT3G60245;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RRTF1_2	13	909	186	0.00876015	0.0592109	1	1	AT1G07920;AT2G07708;AT2G47380;AT3G10920;AT3G18740;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RRTF1_3ARY	13	917	186	0.00938137	0.0592109	1	1	AT1G07920;AT2G07708;AT2G47380;AT3G10920;AT3G18740;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB111	RVE1	6	799	186	0.450494	0.450494	1	1	AT1G54410;AT2G07708;AT3G12120;AT5G02500;AT5G53460;AT5G53560;
S	MYB111	RVE1_2	7	885	186	0.385846	0.385846	1	1	AT1G54410;AT1G65930;AT2G35120;AT3G12120;AT3G25520;AT4G05320;AT5G53560;
S	MYB111_2	MYB46	0	6	186	1	1	1	1	
S	MYB111_2	MYB46_2	4	225	186	0.0659095	0.152706	1	1	AT1G31812;AT2G07708;AT4G13930;AT5G14030;
S	MYB111_2	MYB52	9	1088	186	0.310927	0.310927	1	1	AT2G07708;AT2G35120;AT3G27360;AT4G05320;AT4G28060;AT5G18380;AT5G47030;AT5G48810;ATMG00030;
S	MYB111_2	MYB52_2	1	142	186	0.61739	0.61739	1	1	AT2G07708;
S	MYB111_2	MYB55	23	2481	186	0.0719513	0.152706	1	1	AT1G07920;AT1G15120;AT1G31812;AT1G67350;AT2G07708;AT2G35120;AT2G47380;AT3G04400;AT3G12120;AT3G53730;AT3G60245;AT4G11010;AT4G13930;AT4G32470;AT5G08060;AT5G10980;AT5G18380;AT5G19760;AT5G47030;AT5G48810;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	MYB55_2	0	37	186	1	1	1	1	
S	MYB111_2	MYB59	0	246	186	0.0327691	0.116218	1	1	
S	MYB111_2	RAP2.3	10	1064	186	0.181145	0.181145	1	1	AT2G07708;AT2G47380;AT3G04120;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RAP2.3_2	12	1095	186	0.0668988	0.152706	1	1	AT1G07920;AT2G07708;AT2G47380;AT3G53730;AT3G60245;AT4G05320;AT4G28060;AT5G18380;AT5G47030;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RAP2.3_3ARY	15	1117	186	0.00871843	0.0592109	1	1	AT1G04270;AT1G07920;AT2G07708;AT2G47380;AT3G04400;AT3G60245;AT4G05320;AT4G28060;AT4G37830;AT5G18380;AT5G47030;AT5G48810;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RAP2.6	11	1102	186	0.125158	0.166451	1	1	AT1G15120;AT2G07708;AT2G47380;AT3G04120;AT3G60245;AT4G37830;AT5G18380;AT5G47030;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RAP2.6_2	12	1111	186	0.0727851	0.152706	1	1	AT1G07920;AT1G15120;AT1G31812;AT1G65930;AT2G07708;AT2G47380;AT4G28060;AT5G18380;AT5G47030;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RAP2.6_3ARY	10	1046	186	0.168471	0.168471	1	1	AT1G04270;AT2G35120;AT2G47380;AT3G04120;AT4G05320;AT4G28060;AT5G18380;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RRTF1	9	1086	186	0.309071	0.309071	1	1	AT2G07708;AT2G47380;AT3G04120;AT3G60245;AT5G18380;AT5G47030;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RRTF1_2	10	1086	186	0.197216	0.197216	1	1	AT1G07920;AT2G07708;AT2G47380;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RRTF1_3ARY	10	1073	186	0.187644	0.187644	1	1	AT1G07920;AT2G07708;AT2G47380;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;ATMG00030;ATMG00090;
S	MYB111_2	RVE1	6	716	186	0.351162	0.351162	1	1	AT1G54410;AT2G01250;AT2G07708;AT3G12120;AT3G17390;AT5G53460;
S	MYB111_2	RVE1_2	8	823	186	0.191473	0.191473	1	1	AT1G54410;AT1G65930;AT2G01250;AT2G35120;AT3G12120;AT3G17390;AT3G25520;AT4G05320;
S	MYB46	MYB46_2	4	401	186	0.284518	0.284518	1	1	AT1G31812;AT2G07708;AT3G10920;AT4G13930;
S	MYB46	MYB52	10	1153	186	0.249696	0.249696	1	1	AT2G07708;AT2G35120;AT3G27360;AT4G05320;AT4G28060;AT5G18380;AT5G47030;AT5G48810;AT5G53560;ATMG00030;
S	MYB46	MYB52_2	1	120	186	0.555838	0.555838	1	1	AT2G07708;
S	MYB46	MYB55	24	3012	186	0.218127	0.218127	1	1	AT1G07920;AT1G15120;AT1G31812;AT1G67350;AT2G07708;AT2G35120;AT2G47380;AT3G04400;AT3G10920;AT3G12120;AT3G53730;AT3G60245;AT4G11010;AT4G13930;AT4G32470;AT5G10980;AT5G18380;AT5G19760;AT5G47030;AT5G48810;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	MYB55_2	1	89	186	0.452051	0.452051	1	1	AT2G07708;
S	MYB46	MYB59	0	18	186	1	1	1	1	
S	MYB46	RAP2.3	12	1001	186	0.0386504	0.116218	1	1	AT2G07708;AT2G47380;AT3G04120;AT3G10920;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	RAP2.3_2	15	979	186	0.00265351	0.0400854	0.493552	1	AT1G07920;AT2G07708;AT2G47380;AT3G10920;AT3G53730;AT3G60245;AT4G05320;AT4G28060;AT5G02500;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	RAP2.3_3ARY	15	982	186	0.00273097	0.0400854	0.50796	1	AT1G07920;AT2G07708;AT2G47380;AT3G04400;AT3G60245;AT4G05320;AT4G28060;AT4G37830;AT5G18380;AT5G47030;AT5G48810;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	RAP2.6	13	1009	186	0.01929	0.0869288	1	1	AT1G15120;AT2G07708;AT2G47380;AT3G04120;AT3G10920;AT3G60245;AT4G37830;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	RAP2.6_2	14	1007	186	0.00838365	0.0592109	1	1	AT1G07920;AT1G15120;AT1G31812;AT1G65930;AT2G07708;AT2G47380;AT4G28060;AT5G02500;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	RAP2.6_3ARY	12	963	186	0.0300914	0.116218	1	1	AT2G35120;AT2G47380;AT3G04120;AT3G05590;AT3G10920;AT4G05320;AT4G28060;AT5G18380;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	RRTF1	11	1007	186	0.0786595	0.157319	1	1	AT2G07708;AT2G47380;AT3G04120;AT3G10920;AT3G60245;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
S	MYB46	RRTF1_2	12	947	186	0.0269342	0.107737	1	1	AT1G07920;AT2G07708;AT2G47380;AT3G10920;AT3G53730;AT3G60245;AT5G18380;AT5G47030;AT5G53460;AT5G53560;ATMG00030;ATMG00090;
